well	drug_name	assay_conc_um	runtime	measure
A01	NA	NA	0	0.077
A01	NA	NA	1033	0.078
A01	NA	NA	2114	0.079
A01	NA	NA	3195	0.08
A01	NA	NA	4276	0.081
A01	NA	NA	5357	0.081
A01	NA	NA	6438	0.082
A01	NA	NA	7519	0.082
A01	NA	NA	8600	0.083
A01	NA	NA	9681	0.084
A01	NA	NA	10762	0.085
A01	NA	NA	11843	0.086
A01	NA	NA	12913	0.087
A01	NA	NA	13994	0.088
A01	NA	NA	15075	0.088
A01	NA	NA	16156	0.089
A01	NA	NA	17237	0.09
A01	NA	NA	18318	0.091
A01	NA	NA	19399	0.092
A01	NA	NA	20480	0.094
A01	NA	NA	21561	0.095
A01	NA	NA	22642	0.096
A01	NA	NA	23722	0.1
A01	NA	NA	24793	0.099
A01	NA	NA	25874	0.099
A01	NA	NA	26955	0.097
A01	NA	NA	28036	0.1
A01	NA	NA	29117	0.102
A01	NA	NA	30198	0.108
A01	NA	NA	31279	0.11
A01	NA	NA	32360	0.114
A01	NA	NA	33441	0.122
A01	NA	NA	34522	0.127
A01	NA	NA	35603	0.135
A01	NA	NA	36673	0.143
A01	NA	NA	37754	0.152
A01	NA	NA	38835	0.161
A01	NA	NA	39916	0.173
A01	NA	NA	40997	0.183
A01	NA	NA	42078	0.202
A01	NA	NA	43159	0.215
A01	NA	NA	44240	0.238
A01	NA	NA	45321	0.253
A01	NA	NA	46402	0.275
A01	NA	NA	47482	0.288
A01	NA	NA	48553	0.311
A01	NA	NA	49634	0.332
A01	NA	NA	50715	0.351
A01	NA	NA	51796	0.372
A01	NA	NA	52877	0.392
A01	NA	NA	53959	0.412
A01	NA	NA	55039	0.429
A01	NA	NA	56120	0.441
A01	NA	NA	57201	0.451
A01	NA	NA	58281	0.461
A01	NA	NA	59362	0.47
A01	NA	NA	60433	0.475
A01	NA	NA	61514	0.484
A01	NA	NA	62595	0.49
A01	NA	NA	63676	0.495
A01	NA	NA	64757	0.5
A01	NA	NA	65838	0.503
A01	NA	NA	66919	0.508
A01	NA	NA	68000	0.512
A01	NA	NA	69081	0.514
A01	NA	NA	70161	0.513
A01	NA	NA	71242	0.513
A01	NA	NA	72313	0.511
A01	NA	NA	73394	0.507
A01	NA	NA	74475	0.507
A01	NA	NA	75556	0.506
A01	NA	NA	76637	0.505
A01	NA	NA	77718	0.504
A01	NA	NA	78799	0.502
A01	NA	NA	79880	0.5
A01	NA	NA	80961	0.5
A01	NA	NA	82041	0.5
A01	NA	NA	83122	0.498
A01	NA	NA	84193	0.499
A01	NA	NA	85274	0.499
A01	NA	NA	86355	0.495
A01	NA	NA	87436	0.495
A01	NA	NA	88517	0.492
A01	NA	NA	89598	0.494
A01	NA	NA	90679	0.49
A01	NA	NA	91760	0.492
A01	NA	NA	92840	0.491
A01	NA	NA	93921	0.492
A01	NA	NA	95002	0.488
A01	NA	NA	96073	0.489
A01	NA	NA	97154	0.489
A01	NA	NA	98235	0.487
A01	NA	NA	99316	0.487
A01	NA	NA	100397	0.488
A01	NA	NA	101478	0.488
A01	NA	NA	102559	0.486
A01	NA	NA	103640	0.485
A01	NA	NA	104720	0.487
A01	NA	NA	105801	0.486
A01	NA	NA	106882	0.485
A01	NA	NA	107953	0.484
A01	NA	NA	109034	0.485
A01	NA	NA	110115	0.486
A01	NA	NA	111196	0.484
A01	NA	NA	112277	0.485
A01	NA	NA	113358	0.483
A01	NA	NA	114439	0.483
A01	NA	NA	115519	0.479
A01	NA	NA	116600	0.482
A01	NA	NA	117681	0.483
A01	NA	NA	118762	0.481
A02	Abacavir Sulfate	200	0	0.076
A02	Abacavir Sulfate	200	1033	0.077
A02	Abacavir Sulfate	200	2114	0.078
A02	Abacavir Sulfate	200	3195	0.08
A02	Abacavir Sulfate	200	4276	0.081
A02	Abacavir Sulfate	200	5357	0.082
