well	strain	drug	dose_um	runtime	measure
A01	wt	6772625 (2)	0	926	0.111
A01	wt	6772625 (2)	0	1802	0.1098
A01	wt	6772625 (2)	0	2678	0.119
A01	wt	6772625 (2)	0	3552	0.124
A01	wt	6772625 (2)	0	4427	0.1114
A01	wt	6772625 (2)	0	5301	0.1235
A01	wt	6772625 (2)	0	6176	0.1149
A01	wt	6772625 (2)	0	7050	0.1139
A01	wt	6772625 (2)	0	7924	0.124
A01	wt	6772625 (2)	0	8799	0.1255
A01	wt	6772625 (2)	0	9673	0.1148
A01	wt	6772625 (2)	0	10548	0.1176
A01	wt	6772625 (2)	0	11422	0.1271
A01	wt	6772625 (2)	0	12297	0.1278
A01	wt	6772625 (2)	0	13171	0.1224
A01	wt	6772625 (2)	0	14046	0.1278
A01	wt	6772625 (2)	0	14920	0.1296
A01	wt	6772625 (2)	0	15794	0.148
A01	wt	6772625 (2)	0	16669	0.1365
A01	wt	6772625 (2)	0	17543	0.1399
A01	wt	6772625 (2)	0	18417	0.1504
A01	wt	6772625 (2)	0	19292	0.1543
A01	wt	6772625 (2)	0	20166	0.1552
A01	wt	6772625 (2)	0	21041	0.1675
A01	wt	6772625 (2)	0	21915	0.1844
A01	wt	6772625 (2)	0	22789	0.2057
A01	wt	6772625 (2)	0	23663	0.2027
A01	wt	6772625 (2)	0	24538	0.2146
A01	wt	6772625 (2)	0	25412	0.2352
A01	wt	6772625 (2)	0	26286	0.2393
A01	wt	6772625 (2)	0	27161	0.2521
A01	wt	6772625 (2)	0	28036	0.264
A01	wt	6772625 (2)	0	28910	0.2854
A01	wt	6772625 (2)	0	29785	0.2968
A01	wt	6772625 (2)	0	30659	0.3224
A01	wt	6772625 (2)	0	31534	0.341
A01	wt	6772625 (2)	0	32408	0.3586
A01	wt	6772625 (2)	0	33282	0.3809
A01	wt	6772625 (2)	0	34157	0.408
A01	wt	6772625 (2)	0	35031	0.4406
A01	wt	6772625 (2)	0	35905	0.467
A01	wt	6772625 (2)	0	36780	0.492
A01	wt	6772625 (2)	0	37655	0.5201
A01	wt	6772625 (2)	0	38529	0.5587
A01	wt	6772625 (2)	0	39403	0.5778
A01	wt	6772625 (2)	0	40278	0.6094
A01	wt	6772625 (2)	0	41152	0.6486
A01	wt	6772625 (2)	0	42026	0.6687
A01	wt	6772625 (2)	0	42901	0.7035
A01	wt	6772625 (2)	0	43775	0.7302
A01	wt	6772625 (2)	0	44650	0.7688
A01	wt	6772625 (2)	0	45524	0.7938
A01	wt	6772625 (2)	0	46399	0.8305
A01	wt	6772625 (2)	0	47273	0.8508
A01	wt	6772625 (2)	0	48148	0.8832
A01	wt	6772625 (2)	0	49022	0.9065
A01	wt	6772625 (2)	0	49896	0.9189
A01	wt	6772625 (2)	0	50770	0.9246
A01	wt	6772625 (2)	0	51645	0.9207
A01	wt	6772625 (2)	0	52519	0.923
A01	wt	6772625 (2)	0	53393	0.9163
A01	wt	6772625 (2)	0	54268	0.9225
A01	wt	6772625 (2)	0	55143	0.9209
A01	wt	6772625 (2)	0	56017	0.9233
A01	wt	6772625 (2)	0	56891	0.9263
A01	wt	6772625 (2)	0	57766	0.92490000000000006
A01	wt	6772625 (2)	0	58640	0.9304
A01	wt	6772625 (2)	0	59515	0.9279
A01	wt	6772625 (2)	0	60389	0.9333
A01	wt	6772625 (2)	0	61264	0.9299
A01	wt	6772625 (2)	0	62138	0.9329
A01	wt	6772625 (2)	0	63013	0.9274
A01	wt	6772625 (2)	0	65075	0.9344
A01	wt	6772625 (2)	0	65950	0.9365
A01	wt	6772625 (2)	0	66824	0.9396
A01	wt	6772625 (2)	0	67698	0.9379
A01	wt	6772625 (2)	0	68573	0.9349
A01	wt	6772625 (2)	0	69447	0.9387
A01	wt	6772625 (2)	0	70322	0.9407
A01	wt	6772625 (2)	0	71196	0.9423
A01	wt	6772625 (2)	0	72070	0.9369
A01	wt	6772625 (2)	0	72945	0.9402
A01	wt	6772625 (2)	0	73819	0.9425
A01	wt	6772625 (2)	0	74695	0.9395
A01	wt	6772625 (2)	0	75570	0.942
A01	wt	6772625 (2)	0	76444	0.9419
A01	wt	6772625 (2)	0	77319	0.9434
A01	wt	6772625 (2)	0	78193	0.9441
A01	wt	6772625 (2)	0	79068	0.9454
A01	wt	6772625 (2)	0	79943	0.9448
A01	wt	6772625 (2)	0	80818	0.9456
A01	wt	6772625 (2)	0	82096	0.9476
A01	wt	6772625 (2)	0	82970	0.9492
A01	wt	6772625 (2)	0	83845	0.9453
A02	wt	6772625 (2)	0	926	0.0854
A02	wt	6772625 (2)	0	1802	0.0861
A02	wt	6772625 (2)	0	2678	0.0861
A02	wt	6772625 (2)	0	3552	0.094
A02	wt	6772625 (2)	0	4427	0.0958
A02	wt	6772625 (2)	0	5301	0.101
A02	wt	6772625 (2)	0	6176	0.107
A02	wt	6772625 (2)	0	7050	0.1096
A02	wt	6772625 (2)	0	7924	0.1033
A02	wt	6772625 (2)	0	8799	0.1069
A02	wt	6772625 (2)	0	9673	0.1022
A02	wt	6772625 (2)	0	10548	0.104
A02	wt	6772625 (2)	0	11422	0.1154
A02	wt	6772625 (2)	0	12297	0.1172
A02	wt	6772625 (2)	0	13171	0.1207
A02	wt	6772625 (2)	0	14046	0.1187
A02	wt	6772625 (2)	0	14920	0.1156
A02	wt	6772625 (2)	0	15794	0.1261
A02	wt	6772625 (2)	0	16669	0.1189
A02	wt	6772625 (2)	0	17543	0.1279
A02	wt	6772625 (2)	0	18417	0.1366
A02	wt	6772625 (2)	0	19292	0.1406
A02	wt	6772625 (2)	0	20166	0.1498
